경로	HTTP메서드	컨트롤러:라인	접촉 테이블(전수)	신규PG 부재 테이블 교차	판정
/api/v1/organizations	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:47	team_auth,team,organization,organization_app_user,app_user	없음	접촉 X
/api/v1/organization/{organizationId}	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:64	organization,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/users	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:82	organization_app_user,app_user,team_app_user,team,store	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/{teamId}/users	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:107	team_app_user,team,store,app_user,organization_app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:132	team_auth,team,organization,organization_app_user,store,store_channel,team_channel_account,team_app_user,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:152	organization,organization_app_user,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:169	team,store,team_app_user,organization_app_user,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/{teamId}	DELETE	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:187	team,store,team_channel_account,team_app_user,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/users/{targetUserId}/role	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:207	organization_app_user,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/users/{targetUserId}/permission	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:226	organization_app_user,team_app_user,team,store,store_channel,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/invitations	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:244	organization,app_user,organization_app_user,team,store,team_app_user,token	없음	접촉 X
/api/v1/organizations/{organizationId}/invitations/{invitationToken}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:264	app_user,organization_app_user,organization	없음	접촉 X
/api/v1/organizations/{organizationId}/invitations/{invitationToken}/accept	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:278	app_user,organization_app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/{teamId}/users/{targetUserId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:292	team,store,organization_app_user,team_app_user,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/users/{targetAppUserId}	DELETE	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:313	organization_app_user,team_app_user,team,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/{teamId}/users/{targetAppUserId}	DELETE	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:332	organization_app_user,team_app_user,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:353	team_channel_account,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/login	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:369	team,store,team_channel_account,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/kakao/sms	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:394	team,store,team_channel_account,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/naver/captcha	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:418	team,store,team_channel_account,app_user	없음	접촉 X
/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/relogin	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:441	team_channel_account,team,app_user	없음	접촉 X
/api/v1/admin/organization-user	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:34	organization_app_user,organization,app_user	없음	접촉 X
/api/v1/admin/crawling/storeChannel	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:49	store_channel,app_user	없음	접촉 X
/api/v1/admin/crawling/storeChannels	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:70	store_channel	없음	접촉 X
/api/v1/admin/store-channel-match	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:86	store,store_channel,post,post_reply,post_reply_ai_recommend,post_reply_registration_request,post_word	없음	접촉 X
/api/v1/admin/organizations/{organizationId}/teams/{teamId}/stores/{storeId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:103	team,store,store_channel,team_channel_account,store_channel_attribute,app_user	없음	접촉 X
/api/v1/admin/stores/{storeId}/communities-keywords	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:120	store,store_channel,community,store_community,keyword,community_keyword,store_community_keyword,app_user	없음	접촉 X
/api/v1/admin/stores/{storeId}/communities/{communityId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:138	store,store_channel,community,keyword,community_keyword,store_community_keyword,app_user	없음	접촉 X
/api/v1/admin/stores/{storeId}/communities/{communityId}/keywords/{keywordId}	DELETE	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:156	store_community_keyword,app_user	없음	접촉 X
/api/v1/admin/stores/{storeId}/communities-keywords	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:174	store,store_channel,store_community_keyword,community,keyword,app_user	없음	접촉 X
/api/v1/admin/seo/hospitals	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminSeoController.kt:26	store,app_user	없음	접촉 X
/api/v1/admin/seo/hospitals/{storeId}	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminSeoController.kt:40	store,store_channel,app_user	없음	접촉 X
/api/v1/boost1/message-templates	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:19	boost_message_template	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/message-templates/{messageTemplateId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:32	team,store,boost_message_template,boost_team_message_template	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/message-templates	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:47	boost_team_message_template,boost_message_template,team,store	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:60	team,store	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:75	boost_message,post,post_reply_ai_recommend,boost_customer,boost_message_template	없음	접촉 X
/api/v1/boost1/messages/{messageId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:93	boost_message,post,boost_customer,boost_message_template,boost_receipt_payments,team	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:109	team,store,boost_team_message_template,boost_message_template,boost_customer,boost_message	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages/without-notification	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:125	team,store,boost_message_template,boost_team_message_template,boost_customer,boost_message	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages/{messageId}/posts	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:142	team,store,boost_message,post,boost_customer,boost_message_template,store_channel	없음	접촉 X
/api/v1/boost1/gifts	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:159	boost_gift	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts/{giftId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:172	team,store,boost_gift,boost_team_gift	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:187	team,store,boost_team_gift,boost_gift	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts/{giftId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:201	boost_team_gift,boost_gift,team	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts/{giftId}	DELETE	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:216	boost_team_gift	없음	접촉 X
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages/{messageId}/posts/{postId}/customers/{customerId}/gifts/{giftId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:231	boost_message,post,boost_customer,boost_message_template,store_channel,store,boost_team_gift,boost_gift,team,boost_customer_gift	없음	접촉 X
/api/v1/boost1/customers/{customerId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:249	boost_customer	없음	접촉 X
/api/v1/team/keyword/{teamId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:32	boost_message,post	없음	접촉 X
/api/v1/team/averageScore/{teamId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:37	boost_message,post	없음	접촉 X
/api/v1/team/messageCount/{teamId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:42	boost_message	없음	접촉 X
/api/v1/team/reviewWriteRate/{teamId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:47	boost_message,post	없음	접촉 X
/api/v1/team/presentCount/{teamId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:52	boost_present_order,boost_message	없음	접촉 X
/api/v1/team/presentHistories/{teamId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:57	boost_present_order,boost_message,boost_present,boost_present_ledger	없음	접촉 X
/api/v1/team/presentHistories/{teamId}/excel	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:70	boost_present_order,boost_message,boost_present,boost_present_ledger	없음	접촉 X
/api/v1/products/{productName}/purchases	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/productPost/controller/ProductController.kt:30	app_user,organization,team,store,product,product_post,post,store_channel,thread,community	없음	접촉 X
/api/v1/stores/check	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:39	store,store_channel,app_user(조건부)	없음	접촉 X
