HTTP	경로	구 위치	컨트롤러	인증경계(구 SecurityConfig)	쓰기여부	외부호출(폐포)	접촉 테이블	신규PG 부재 교차	이식상태
POST	/api/v1/organizations	apis/http/organization/controller/OrganizationController.kt:47	OrganizationController	authenticated	쓰기	ML·메일·외부검색	team_auth,team,organization,organization_app_user,app_user	없음	이식완료(P2-B)
PATCH	/api/v1/organization/{organizationId}	apis/http/organization/controller/OrganizationController.kt:64	OrganizationController	authenticated	쓰기	ML·메일·외부검색	organization,app_user	없음	이식완료(P2-B)
GET	/api/v1/organizations/{organizationId}/users	apis/http/organization/controller/OrganizationController.kt:82	OrganizationController	authenticated	읽기	ML·메일·외부검색	organization_app_user,app_user,team_app_user,team,store	없음	이식완료(P2-B)
GET	/api/v1/organizations/{organizationId}/teams/{teamId}/users	apis/http/organization/controller/OrganizationController.kt:107	OrganizationController	authenticated	읽기	ML·메일·외부검색	team_app_user,team,store,app_user,organization_app_user	없음	이식완료(P2-B)
POST	/api/v1/organizations/{organizationId}/teams	apis/http/organization/controller/OrganizationController.kt:132	OrganizationController	authenticated	쓰기	ML·메일·외부검색	team_auth,team,organization,organization_app_user,store,store_channel,team_channel_account,team_app_user,app_user	없음	이식완료(P2-B)
GET	/api/v1/organizations/{organizationId}	apis/http/organization/controller/OrganizationController.kt:152	OrganizationController	authenticated	읽기	ML·메일·외부검색	organization,organization_app_user,app_user	없음	이식완료(P2-B)
GET	/api/v1/organizations/{organizationId}/teams	apis/http/organization/controller/OrganizationController.kt:169	OrganizationController	authenticated	읽기	ML·메일·외부검색	team,store,team_app_user,organization_app_user,app_user	없음	이식완료(P2-B)
DELETE	/api/v1/organizations/{organizationId}/teams/{teamId}	apis/http/organization/controller/OrganizationController.kt:187	OrganizationController	authenticated	쓰기	ML·메일·외부검색	team,store,team_channel_account,team_app_user,app_user	없음	이식완료(P2-B)
PATCH	/api/v1/organizations/{organizationId}/users/{targetUserId}/role	apis/http/organization/controller/OrganizationController.kt:207	OrganizationController	authenticated	쓰기	ML·메일·외부검색	organization_app_user,app_user	없음	이식완료(P2-B)
PATCH	/api/v1/organizations/{organizationId}/teams/users/{targetUserId}/permission	apis/http/organization/controller/OrganizationController.kt:226	OrganizationController	authenticated	쓰기	ML·메일·외부검색	organization_app_user,team_app_user,team,store,store_channel,app_user	없음	이식완료(P2-B)
POST	/api/v1/organizations/{organizationId}/invitations	apis/http/organization/controller/OrganizationController.kt:244	OrganizationController	permitAll(/api/v1/organizations/{organizationId}/invitations)	쓰기	ML·메일·외부검색	organization,app_user,organization_app_user,team,store,team_app_user,token	없음	이식완료(P2-B)
GET	/api/v1/organizations/{organizationId}/invitations/{invitationToken}	apis/http/organization/controller/OrganizationController.kt:264	OrganizationController	permitAll(/api/v1/organizations/{organizationId}/invitations/{token})	읽기	ML·메일·외부검색	app_user,organization_app_user,organization	없음	이식완료(P2-B)
POST	/api/v1/organizations/{organizationId}/invitations/{invitationToken}/accept	apis/http/organization/controller/OrganizationController.kt:278	OrganizationController	permitAll(/api/v1/organizations/{organizationId}/invitations/{invitationToken}/accept)	쓰기	ML·메일·외부검색	app_user,organization_app_user	없음	이식완료(P2-B)
POST	/api/v1/organizations/{organizationId}/teams/{teamId}/users/{targetUserId}	apis/http/organization/controller/OrganizationController.kt:292	OrganizationController	authenticated	쓰기	ML·메일·외부검색	team,store,organization_app_user,team_app_user,app_user	없음	이식완료(P2-B)
DELETE	/api/v1/organizations/{organizationId}/users/{targetAppUserId}	apis/http/organization/controller/OrganizationController.kt:313	OrganizationController	authenticated	쓰기	ML·메일·외부검색	organization_app_user,team_app_user,team,app_user	없음	이식완료(P2-B)
DELETE	/api/v1/organizations/{organizationId}/teams/{teamId}/users/{targetAppUserId}	apis/http/organization/controller/OrganizationController.kt:332	OrganizationController	authenticated	쓰기	ML·메일·외부검색	organization_app_user,team_app_user,app_user	없음	이식완료(P2-B)
GET	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts	apis/http/organization/controller/OrganizationController.kt:353	OrganizationController	authenticated	읽기	ML·메일·외부검색	team_channel_account,app_user	없음	이식완료(P2-B)
POST	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/login	apis/http/organization/controller/OrganizationController.kt:369	OrganizationController	authenticated	쓰기	ML·메일·외부검색	team,store,team_channel_account,app_user	없음	이식완료(P2-B)
POST	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/kakao/sms	apis/http/organization/controller/OrganizationController.kt:394	OrganizationController	authenticated	쓰기	ML·메일·외부검색	team,store,team_channel_account,app_user	없음	이식완료(P2-B)
POST	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/naver/captcha	apis/http/organization/controller/OrganizationController.kt:418	OrganizationController	authenticated	쓰기	ML·메일·외부검색	team,store,team_channel_account,app_user	없음	이식완료(P2-B)
POST	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/relogin	apis/http/organization/controller/OrganizationController.kt:441	OrganizationController	authenticated	쓰기	ML·메일·외부검색	team_channel_account,team,app_user	없음	이식완료(P2-B)
GET	/api/v1/team/keyword/{teamId}	apis/http/team/controller/TeamController.kt:32	TeamController	permitAll(/api/v1/team/**)	읽기	없음	boost_message,post	없음	이식완료(P2-D)
GET	/api/v1/team/averageScore/{teamId}	apis/http/team/controller/TeamController.kt:37	TeamController	permitAll(/api/v1/team/**)	읽기	없음	boost_message,post	없음	이식완료(P2-D)
GET	/api/v1/team/messageCount/{teamId}	apis/http/team/controller/TeamController.kt:42	TeamController	permitAll(/api/v1/team/**)	읽기	없음	boost_message	없음	이식완료(P2-D)
