단계	HTTP	경로	구 위치(파일:라인)	신 위치(파일:라인)	판정
P0	GET	/api/v1/health	module-core/core-common/src/main/kotlin/legalcare/medilawyer/common/health/HealthCheck.kt:0	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/health/HealthCheck.java:12	이식완료
P1	GET	/api/v1/posts	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/post/controller/PostController.kt:27	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/post/controller/PostController.java:32	이식완료
P1	POST	/api/v1/post-reply-ai-recommend	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/postReplyAiRecommend/controller/PostReplyAiRecommendController.kt:25	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/postReplyAiRecommend/controller/PostReplyAiRecommendController.java:25	이식완료
P1	POST	/api/v1/post-reply	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/postReply/controller/PostReplyController.kt:33	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/postReply/controller/PostReplyController.java:30	이식완료
P1	GET	/api/v1/post-word/statistics	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/postWord/controller/PostWordController.kt:27	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/postWord/controller/PostWordController.java:30	이식완료
P1	GET	/api/v1/public/hospitals	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/publicSeo/controller/PublicHospitalController.kt:19	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/publicSeo/controller/PublicHospitalController.java:25	이식완료
P1	GET	/api/v1/public/hospitals/{storeId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/publicSeo/controller/PublicHospitalController.kt:26	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/publicSeo/controller/PublicHospitalController.java:33	이식완료
P1	GET	/api/v1/store-channel/search/naver	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:25	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/storeChannel/controller/StoreChannelController.java:28	이식완료
P1	GET	/api/v1/store-channel/search/unofficial/naver	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:38	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/storeChannel/controller/StoreChannelController.java:40	이식완료
P1	GET	/api/v1/store-channel/search/kakao	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:50	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/storeChannel/controller/StoreChannelController.java:51	이식완료
P1	GET	/api/v1/store-channel/search/modoodoc	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:63	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/storeChannel/controller/StoreChannelController.java:63	이식완료
P1	GET	/api/v1/store-channel/search/google	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:76	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/storeChannel/controller/StoreChannelController.java:75	이식완료
P2	GET	/api/v1/app-user-channel-account/list	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:31	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.java:37	이식완료
P2	POST	/api/v1/app-user-channel-account/login	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:45	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.java:51	이식완료
P2	POST	/api/v1/app-user-channel-account/login/kakao/sms	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:67	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.java:71	이식완료
P2	POST	/api/v1/app-user-channel-account/relogin	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:90	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.java:91	이식완료
P2	GET	/api/v1/app-users/me	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUser/controller/AppUserController.kt:36	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/appUser/controller/AppUserController.java:30	이식완료
P2	GET	/api/v1/users/me/stores	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUser/controller/AppUserController.kt:50	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/appUser/controller/AppUserController.java:43	이식완료
P2	GET	/api/v1/app-user-store/list	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserStore/controller/AppUserStoreController.kt:41	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/appUserStore/controller/AppUserStoreController.java:31	이식완료
P2	PATCH	/api/v1/app-user-store/match	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserStore/controller/AppUserStoreController.kt:56	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/appUserStore/controller/AppUserStoreController.java:45	이식완료
P2	POST	/api/v1/notice	module-core/core-api/src/main/kotlin/legalcare/medilawyer/notice/api/controller/NoticeController.kt:36	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/notice/api/controller/NoticeController.java:43	이식완료
P2	POST	/api/v1/negative-review-alimtalk	module-core/core-api/src/main/kotlin/legalcare/medilawyer/notice/api/controller/NoticeController.kt:64	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/notice/api/controller/NoticeController.java:66	이식완료
P2	POST	/api/v1/organizations	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:47	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:74	이식완료
P2	PATCH	/api/v1/organization/{organizationId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:64	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:89	이식완료
P2	GET	/api/v1/organizations/{organizationId}/users	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:82	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:106	이식완료
P2	GET	/api/v1/organizations/{organizationId}/teams/{teamId}/users	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:107	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:126	이식완료
P2	POST	/api/v1/organizations/{organizationId}/teams	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:132	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:146	이식완료
P2	GET	/api/v1/organizations/{organizationId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:152	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:165	이식완료
P2	GET	/api/v1/organizations/{organizationId}/teams	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:169	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:182	이식완료
